task_id,task_type,description
P1,character_detection,Identify the character highlighted with a red oval
P2,intersection_counting,Count the number of line intersections in the image
P3,nested_shapes,Count the total number of nested squares
P4,grid_counting,Count the number of rows and columns in the grid
P5,circle_counting,Count the number of circles in the image
P6,overlap_detection,Identify overlapping objects in the image
p7,Prompt _sensitivity,is  a towel bigger than a car
p8,stability_prediction,"Given an arrangement of objects, predict whether the structure will remain stable or collapse."
p9,motion_outcome,"Given a sequence of frames showing objects being pushed, predict the final state of the objects."
p10,path collisons,"If an object moves in a given direction, which object will it collide with first?"
